Chr rsid           bp              p-value	name
 1 rs11206510      55496039        0.044273	PCSK9
 1 rs17114036      56962821        0.00137158	PPAP2B
 1 rs646776        109818530       0.00012296	SORT1
 1 rs4845625       154422067       0.0587254	IL6R
 1 rs17464857      222762709       0.0330453	MIA3
 1 rs17465637      222823529       0.00172605	MIA3
 2 rs16986953      19942473        0.0245521	AK097927
 2 rs515135        21286057        0.00880796	APOB
 2 rs6544713       44073881        0.366386	ABCG5-ABCG8
 2 rs1561198       85809989        0.0167176	VAMP5-VAMP8-GGCX
 2 rs2252641       145801461       0.30268	ZEB2-ACO74093.1
 2 rs6725887       203745885       0.193429	WDR12
 3 rs9818870       138122122       2.71621e-05	MRAS
 4 rs1878406       148393664       0.674136	EDNRA
 4 rs7692387       156635309       0.0841907	GUCY1A3
 5 rs273909        131667353       0.160466	SLC22A4-SLC22A5
 6 rs6903956       11774583        0.305015	ADTRP-C6orf105
 6 rs12526453      12927544        9.0928e-05	PHACTR1
 6 rs17609940      35034800        0.00186017	ANKS1A
 6 rs10947789      39174922        0.144094	KCNK5
 6 rs12190287      134214525       0.000317683	TCF21*
 6 rs2048327       160863532       0.00200968	SLC22A3-LPAL2-LPA
 6 rs3798220       160961137       0	        SLC22A3-LPAL2-LPA *
 6 rs4252120       161143608       0.026961	PLG
 7 rs2023938       19036775        0.374485	HDAC9
 7 rs10953541      107244545       0.106422	7q22
 7 rs11556924      129663496       0.00017611	ZC3HC1
 8 rs264           19813180        0.0289332	LPL
 8 rs2954029       126490972       0.360682	TRIB1
 9 rs3217992       22003223        1.6247e-11	9p21
 9 rs4977574       22098574        1.73537e-18	9p21
 9 rs579459        136154168       3.38704e-05	ABO
10 rs2505083       30335122        0.00296032	KIAA1462
10 rs2047009       44539913        0.0554649	CXCL12
10 rs501120        44753867        0.000317966	CXCL12
10 rs11203042      90989109        0.0307572	LIPA
10 rs1412444       91002927        0.00987307	LIPA
10 rs12413409      104719096       0.000454196	CYP17A1-CNNM2-NT5C2
11 rs974819        103660567       0.0115122	PDGFD
11 rs964184        116648917       0.00691135	ZNF259-APOA5-APOA1
12 rs7136259       90081188        0.176073	ATP2B1
12 rs3184504       111884608       0.0944683	SH2B3
13 rs9319428       28973621        0.0551928	FLT1
13 rs4773144       110960712       0.10254	COL4A1/A2
13 rs9515203       111049623       0.000186468	COL4A1/A2
14 rs2895811       100133942       0.0448657	HHIPL1
15 rs7173743       79141784        0.0120763	ADAMTS7
15 rs17514846      91416550        0.0476011	FURIN-FES
17 rs216172        2126504         1.7422e-05	SMG6
17 rs12936587      17543722        0.261453	RAI1-PEMT-RASD1
17 rs46522         46988597        0.252512	UBE2Z
19 rs1122608       11163601        0.0471248	LDLR
19 rs2075650       45395619        0.211264	APOE-APOC1
19 rs445925        45415640        0.0402832	APOE-APOC1
21 rs9982601       35599128        2.67099e-05	KCNE2
 4 rs17087335      57838583        0.0270497    REST-NOA1
 7 rs3918226       150690176       0.000417134  NOS3
11 rs10840293      9751196         0.00289448   SWAP70
15 rs56062135      67455630        0.297386     SMAD3
15 rs8042271       89574218        0.506212     MFGE8-ABHD2
17 rs7212798       59013488        0.00402673   BCAS3
18 rs663129        57838401        0.0370558    PMAIP1-MC4R
22 rs180803        24658858        0		POM121L9P-ADORA2A
12 rs11830157      118265441       0.28184      KSR2
19 rs12976411      32882020        0		ZNF507-LOC400684
